coord/lon,coord/lat,weather/0/id,weather/0/main,weather/0/description,weather/0/icon,base,main/temp,main/feels_like,main/temp_min,main/temp_max,main/pressure,main/humidity,visibility,wind/speed,wind/deg,clouds/all,dt,sys/type,sys/id,sys/country,sys/sunrise,sys/sunset,timezone,id,name,cod,rain/1h,weather/1/id,weather/1/main,weather/1/description,weather/1/icon,wind/gust,main/sea_level,main/grnd_level,message,snow/1h,snow/3h
-49.1486,-13.4408,500,Rain,light rain,10d,stations,305.61,309.04,305.61,305.61,1011,54,10000,1.77,188,2,1610118118,,,BR,1610096226,1610142556,-10800,3453014,Porangatu,200,0.3,,,,,,1011,968,,,
-62.2724,-38.7196,800,Clear,clear sky,01d,stations,296.48,292.6,296.48,296.48,1014,27,10000,3.46,150,0,1610118146,,,AR,1610096068,1610149015,-10800,3865086,Bahía Blanca,200,,,,,,,1014,1010,,,
130.9889,-25.2406,800,Clear,clear sky,01n,stations,300.15,295.63,300.15,300.15,1015,14,10000,3.09,130,0,1610118254,1,9487,AU,1610138076,1610187065,34200,6355222,Yulara,200,,,,,,,,,,,
158.6483,53.0452,800,Clear,clear sky,01n,stations,251.15,244.62,251.15,251.15,990,77,10000,4,20,0,1610118254,1,8887,RU,1610141764,1610170096,43200,2122104,Petropavlovsk-Kamchatskiy,200,,,,,,,,,,,
-79.9431,37.3413,804,Clouds,overcast clouds,04d,stations,276.21,272.76,274.82,277.04,1017,65,10000,1.54,20,90,1610118254,1,5693,US,1610109249,1610144318,-18000,4764534,Hollins,200,,,,,,,,,,,
101.7667,36.6167,804,Clouds,overcast clouds,04n,stations,262.53,258.59,262.53,262.53,1028,75,10000,0.87,24,89,1610118254,,,CN,1610065528,1610100794,28800,1788852,Xining,200,,,,,,,1028,772,,,
47.9861,42.3937,804,Clouds,overcast clouds,04n,stations,275.15,271.91,275.15,275.15,1022,93,7000,2,260,100,1610118254,1,8965,RU,1610079417,1610112727,10800,518764,Novokayakent,200,,,,,,,,,,,
46.0333,-18.7667,500,Rain,light rain,10d,stations,298.15,301.3,298.15,298.15,1007,81,10000,1.85,264,100,1610118255,,,MG,1610072795,1610120286,10800,1054463,Tsiroanomandidy,200,0.95,,,,,,1007,919,,,
73,5.6667,804,Clouds,overcast clouds,04n,stations,301.62,305.99,301.62,301.62,1008,73,10000,1.37,186,100,1610118255,,,MV,1610068808,1610111325,18000,1337619,Ugoofaaru,200,,,,,,,1008,1008,,,
-76.2167,-13.7,800,Clear,clear sky,01d,stations,296.06,296.25,295.93,296.15,1014,73,10000,3.6,270,0,1610118255,1,8691,PE,1610102697,1610149081,-18000,3932145,Pisco,200,,,,,,,,,,,
49.75,54.15,601,Snow,snow,13n,stations,267.15,260.15,267.15,267.15,1019,93,8000,6,130,90,1610118255,1,9043,RU,1610081875,1610109422,14400,519611,Novaya Mayna,200,,,,,,,,,,1.73,
-7.5406,43.2686,800,Clear,clear sky,01d,stations,278.71,273.02,278.71,278.71,1013,69,10000,5.36,46,2,1610118255,3,2013071,ES,1610092908,1610125896,3600,3105522,Bereda,200,,,,,,8.94,,,,,
-89.8668,35.2001,804,Clouds,overcast clouds,04d,stations,274.99,269.75,274.82,275.37,1023,87,10000,4.63,340,90,1610118046,1,5106,US,1610111303,1610147029,-21600,4657046,Shelby,200,,,,,,,,,,,
-114.0611,27.9769,804,Clouds,overcast clouds,04d,stations,286.74,284.98,286.74,286.74,1018,68,10000,1.78,281,100,1610118154,,,MX,1610116125,1610153824,-25200,4021858,Guerrero Negro,200,,,,,,,1018,1018,,,
-1.25,60,801,Clouds,few clouds,02d,stations,275.15,270.24,275.15,275.15,1020,69,10000,3.6,10,20,1610118256,1,1438,GB,1610096498,1610119286,0,2638534,Sandwick,200,,,,,,,,,,,
111.5,66,804,Clouds,overcast clouds,04n,stations,251.58,243,251.58,251.58,1019,89,974,7,328,98,1610118256,,,RU,1610160280,1610174218,32400,2027296,Aykhal,200,,,,,,,1019,957,,,
2.159,41.3888,800,Clear,clear sky,01d,stations,280.02,276.09,278.71,280.93,1012,57,10000,2.57,320,0,1610117945,1,6398,ES,1610090229,1610123918,3600,3128760,Barcelona,200,,,,,,,,,,,
-24.4956,14.8961,800,Clear,clear sky,01d,stations,297.37,295.94,297.37,297.37,1014,77,10000,7.27,33,2,1610118158,,,CV,1610093145,1610133800,-3600,3374210,São Filipe,200,,,,,,,1014,1002,,,
-77.9447,34.2257,800,Clear,clear sky,01d,stations,281.76,277.15,280.15,283.15,1011,81,10000,5.14,20,1,1610118010,1,4521,US,1610108298,1610144309,-18000,4499379,Wilmington,200,,,,,,,,,,,
31.1107,70.3705,600,Snow,light snow,13n,stations,268.15,260.86,268.15,268.15,1022,74,10000,6.17,210,75,1610118256,1,1666,NO,0,0,3600,777019,Vardø,200,,,,,,,,,,,
80.4167,5.9667,804,Clouds,overcast clouds,04n,stations,298.07,302.09,298.07,298.07,1009,87,10000,1.43,43,93,1610118145,,,LK,1610067058,1610109515,19800,1223738,Weligama,200,,,,,,,1009,1007,,,
-47.4581,-23.5017,804,Clouds,overcast clouds,04d,stations,303.15,307.28,303.15,303.15,1020,65,8830,1.34,25,98,1610118257,3,2011316,BR,1610094694,1610143276,-10800,3447399,Sorocaba,200,,,,,,4.02,,,,,
-68.9333,-22.4667,800,Clear,clear sky,01d,stations,291.15,287.66,291.15,291.15,1028,34,10000,2.57,80,0,1610118012,1,8480,CL,1610099974,1610148307,-10800,3897347,Calama,200,,,,,,,,,,,
30.7792,28.419,801,Clouds,few clouds,02d,stations,296.36,291.35,296.36,296.36,1015,20,10000,4.12,346,24,1610118257,,,EG,1610081418,1610118988,7200,352628,Maţāy,200,,,,,,,1015,1011,,,
147.95,62.7167,803,Clouds,broken clouds,04n,stations,236.82,232.65,236.82,236.82,1010,80,10000,0.34,277,80,1610118257,,,RU,1610148651,1610168346,39600,2124611,Kholodnyy,200,,,,,,,1010,923,,,
-76.0833,-5.9,802,Clouds,scattered clouds,03d,stations,298.15,302.43,298.15,298.15,1016,83,10000,0.53,43,40,1610118257,1,8674,PE,1610103461,1610148253,-18000,3690654,Yurimaguas,200,,,,,,,,,,,
72.6842,65.6118,804,Clouds,overcast clouds,04n,stations,247.38,241.72,247.38,247.38,1032,89,8166,2.69,233,90,1610118257,,,RU,1610082886,1610097399,18000,1490918,Staryy Nadym,200,,,,,,,1032,1031,,,
-27.0667,38.7333,801,Clouds,few clouds,02d,stations,288.39,283.68,288.15,288.71,1028,63,10000,6.15,35,20,1610118258,1,6895,PT,1610096785,1610131395,-3600,3372760,Praia da Vitória,200,0.1,,,,,,,,,,
14.8667,-5.25,803,Clouds,broken clouds,04d,stations,299.56,302.66,299.56,299.56,1008,74,10000,1.84,237,66,1610118258,,,CD,1610081690,1610126355,3600,2312888,Mbanza-Ngungu,200,,,,,,,1008,933,,,
-85.1999,32.3502,804,Clouds,overcast clouds,04d,stations,279.74,276.73,279.26,280.15,1015,87,10000,2.57,330,90,1610118258,1,3711,US,1610109774,1610146317,-21600,4047434,Russell,200,,,,,,,,,,,
17.9442,-33.0117,800,Clear,clear sky,01d,stations,300.15,294.83,300.15,300.15,1009,41,10000,8.75,220,0,1610118136,1,1943,ZA,1610077724,1610128844,7200,3361934,Saldanha,200,,,,,,,,,,,
35.9826,50.0241,803,Clouds,broken clouds,04n,stations,275.52,270.8,275.15,275.93,1012,87,10000,4,240,75,1610118258,1,8905,UA,1610083973,1610113934,7200,697676,Peresichna,200,,,,,,,,,,,
138.3297,46.5389,804,Clouds,overcast clouds,04n,stations,252.91,245.98,252.91,252.91,1011,81,10000,4.66,309,100,1610118258,,,RU,1610144962,1610176654,36000,2015852,Svetlaya,200,,,,,,,1011,1007,,,
-135.33,57.0531,500,Rain,light rain,10n,stations,281.15,273.55,281.15,281.15,998,61,10000,8.23,130,90,1610118148,1,7795,US,1610127323,1610152837,-32400,5557293,Sitka,200,0.63,,,,,11.32,,,,,
-158.0858,21.3469,800,Clear,clear sky,01n,stations,292.35,293.72,291.15,293.15,1018,88,10000,1.54,40,1,1610118099,1,7868,US,1610125907,1610165180,-36000,5850554,Makakilo City,200,,,,,,,,,,,
126.9778,37.5683,800,Clear,clear sky,01n,stations,258.49,251.22,258.15,259.15,1026,51,10000,5.14,350,0,1610118032,1,8105,KR,1610146022,1610181045,32400,1835848,Seoul,200,,,,,,,,,,,
-68.9728,18.4273,802,Clouds,scattered clouds,03d,stations,299.15,302.33,299.15,299.15,1017,78,10000,2.06,90,40,1610118030,1,7055,DO,1610104196,1610144105,-14400,3500957,La Romana,200,,,,,,,,,,,
-13.0499,20.5169,800,Clear,clear sky,01d,stations,303.97,299.92,303.97,303.97,1011,23,10000,4.88,293,0,1610118154,,,MR,1610091001,1610130448,0,2381334,Atar,200,,,,,,,1011,987,,,
46.7217,48.2256,804,Clouds,overcast clouds,04n,stations,275.49,269.81,275.49,275.49,1020,92,10000,5.53,192,100,1610118259,,,RU,1610080949,1610111802,14400,475196,Verkhniy Baskunchak,200,,,,,,,1020,1016,,,
-73.1167,-36.7167,800,Clear,clear sky,01d,stations,293.15,290.4,293.15,293.15,1016,49,10000,3.6,210,0,1610118259,1,8499,CL,1610099013,1610151277,-10800,3870282,Talcahuano,200,,,,,,,,,,,
-77.8828,44.0001,800,Clear,clear sky,01d,stations,264.72,260.56,264.15,265.15,1025,86,10000,1.54,20,0,1610118259,1,388,CA,1610109930,1610142648,-18000,5924963,Colborne,200,,,,,,,,,,,
77.7456,21.2417,804,Clouds,overcast clouds,04n,stations,298.3,296.84,298.3,298.3,1011,44,10000,2.98,45,86,1610118259,,,IN,1610069289,1610108566,19800,1274674,Chāndūr Bāzār,200,,,,,,,1011,969,,,
92.9,20.15,800,Clear,clear sky,01n,stations,297.63,298.48,297.63,297.63,1011,70,10000,3.17,321,0,1610118135,,,MM,1610065529,1610105049,23400,1295765,Sittwe,200,,,,,,,1011,1011,,,
84.6,18.9333,800,Clear,clear sky,01n,stations,295.68,297.1,295.68,295.68,1013,62,10000,0.22,90,3,1610118260,,,IN,1610067388,1610107176,19800,1255816,Sompeta,200,,,,,,,1013,1012,,,
125.2833,24.8,804,Clouds,overcast clouds,04n,stations,285.94,275.98,285.94,285.94,1024,82,10000,14.21,3,97,1610118260,,,JP,1610144697,1610183183,32400,1862505,Hirara,200,,,,,,,1024,1022,,,
-59.95,3.0833,501,Rain,moderate rain,10d,stations,298.2,301.64,298.2,298.2,1014,76,10000,0.72,16,100,1610118260,,,BR,1610100471,1610143497,-14400,3405215,Bonfim,200,1.538,,,,,,1014,1003,,,
142.1856,43.5097,801,Clouds,few clouds,02n,stations,260.38,254.43,260.38,260.38,1003,88,10000,3.73,154,17,1610118260,,,JP,1610143412,1610176353,32400,2130612,Ashibetsu,200,,,,,,,1003,986,,,
-63.5986,50.2334,600,Snow,light snow,13d,stations,272.15,265.08,272.15,272.15,1001,86,4828,6.69,20,90,1610118260,1,812,CA,1610107920,1610137800,-18000,5972291,Havre-St-Pierre,200,,500,Rain,light rain,10d,11.32,,,,,
-83.2333,15,802,Clouds,scattered clouds,03d,stations,299.57,301.19,299.57,299.57,1017,69,10000,3.14,359,37,1610118260,,,HN,1610107255,1610147892,-21600,3608828,Iralaya,200,,,,,,,1017,1016,,,
51.8905,62.8629,804,Clouds,overcast clouds,04n,stations,255.35,250.26,255.35,255.35,1027,93,5690,2.22,91,100,1610118260,,,RU,1610085473,1610104797,10800,492860,Sindor,200,,,,,,,1027,1007,,,
115.0394,32.1272,800,Clear,clear sky,01n,stations,269.96,265.43,269.96,269.96,1033,71,10000,2.37,271,0,1610118260,,,CN,1610061686,1610098263,28800,1807553,Dingcheng,200,,,,,,,1033,1028,,,
169.8464,-46.2817,804,Clouds,overcast clouds,04n,stations,284.82,283.23,284.82,284.82,1007,81,10000,1.79,293,97,1610118133,3,2000217,NZ,1610125252,1610181231,46800,2208248,Kaitangata,200,,,,,,3.58,,,,,
-97.4975,25.9018,800,Clear,clear sky,01d,stations,280.55,278.22,280.15,281.15,1024,81,10000,1.54,330,1,1610118004,1,3496,US,1610111894,1610150102,-21600,4676740,Brownsville,200,,,,,,,,,,,
105.0877,28.7829,804,Clouds,overcast clouds,04n,stations,277.57,275.12,277.57,277.57,1033,75,10000,0.75,19,88,1610118261,,,CN,1610063629,1610101098,28800,1799686,Tongzi,200,,,,,,,1033,988,,,
40.902,-2.2717,801,Clouds,few clouds,02d,stations,299.1,299.21,299.1,299.1,1006,79,10000,6.57,85,14,1610118261,,,KE,1610075734,1610119811,10800,189741,Lamu,200,,,,,,,1006,1005,,,
148.1667,-23.5333,500,Rain,light rain,10n,stations,293.15,291.44,293.15,293.15,1011,100,4700,7.72,160,90,1610118261,1,9524,AU,1610134159,1610182734,36000,2167426,Emerald,200,0.15,,,,,,,,,,
-105.8179,50.4501,800,Clear,clear sky,01d,stations,260.65,255.81,260.15,261.15,1034,92,10000,2.22,203,0,1610118262,1,1041,CA,1610118107,1610147884,-21600,5917430,Caronport,200,,,,,,,,,,,
-17.3389,66.0449,600,Snow,light snow,13d,stations,273.15,266.7,273.15,273.15,991,93,10000,6.17,310,75,1610118262,1,83,IS,1610104955,1610118554,0,2629833,Husavik,200,,,,,,,,,,0.4,
-15.8333,11.2833,802,Clouds,scattered clouds,03d,stations,299.74,300.27,299.74,299.74,1009,63,10000,3.84,243,41,1610118262,,,GW,1610090694,1610132092,0,2374583,Bubaque,200,,,,,,,1009,1006,,,
-3.8873,36.7585,804,Clouds,overcast clouds,04d,stations,284.57,282.47,282.04,285.37,1000,92,9674,3.13,103,100,1610118021,3,2013287,ES,1610090906,1610126144,3600,2513240,Nerja,200,,,,,,6.26,,,,,
-171,65.5833,800,Clear,clear sky,01n,stations,247.48,242.37,247.48,247.48,1006,84,10000,1.89,347,0,1610118262,,,RU,1610227499,1610242637,43200,4031637,Lavrentiya,200,,,,,,,1006,1005,,,
-88.0706,30.8207,804,Clouds,overcast clouds,04d,stations,278.9,276.52,278.71,279.26,1016,64,10000,0.45,246,97,1610118092,3,19454,US,1610110255,1610147214,-21600,4088628,Saraland,200,,,,,,1.79,,,,,
-165.4064,64.5011,804,Clouds,overcast clouds,04n,stations,256.15,249.64,256.15,256.15,1000,71,10000,4.12,350,90,1610118263,1,7770,US,1610138851,1610155750,-32400,5870133,Nome,200,,,,,,,,,,,
150.6667,-10.6167,500,Rain,light rain,10n,stations,301.65,303.96,301.65,301.65,1005,78,10000,5.25,10,100,1610118263,,,PG,1610134977,1610180715,36000,2132606,Samarai,200,0.81,,,,,,1005,1005,,,
1.4078,18.4411,800,Clear,clear sky,01d,stations,308.48,302.26,308.48,308.48,1011,9,10000,5.59,99,0,1610118263,,,ML,1610087303,1610127204,0,2455290,Kidal,200,,,,,,,1011,961,,,
142.1561,50.8975,804,Clouds,overcast clouds,04n,stations,250.69,245.56,250.69,250.69,1010,89,709,2.03,342,100,1610118263,,,RU,1610145104,1610174675,39600,2127282,Aleksandrovsk-Sakhalinskiy,200,,,,,,,1010,1009,,,
125.4869,58.8353,600,Snow,light snow,13n,stations,254.53,247.97,254.53,254.53,1015,90,193,4.25,263,100,1610118263,,,RU,1610151875,1610175907,32400,2019135,Nizhniy Kuranakh,200,,,,,,,1015,967,,0.13,
44.5833,13.1667,802,Clouds,scattered clouds,03n,stations,294.97,293.13,294.97,294.97,1013,62,10000,4.53,119,29,1610118264,,,YE,1610076383,1610117394,10800,6201197,Muhafazat Lahij,200,,,,,,,1013,961,,,
142.3703,43.7678,802,Clouds,scattered clouds,03n,stations,259.73,253.99,259.73,259.73,1003,88,10000,3.38,152,32,1610118065,,,JP,1610143418,1610176258,32400,2130629,Asahikawa,200,,,,,,,1003,988,,,
