coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,message,snow
"{'lon': 117.1333, 'lat': -20.7833}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 305.36, 'feels_like': 307.17, 'temp_min': 305.36, 'temp_max': 305.36, 'pressure': 1010, 'humidity': 49, 'sea_level': 1010, 'grnd_level': 1008}",10000.0,"{'speed': 2.7800000000000002, 'deg': 261}",{'all': 80},1610118196.0,"{'country': 'AU', 'sunrise': 1610055494, 'sunset': 1610103450}",28800.0,2062276.0,Roebourne,200,{'1h': 0.1},,
"{'lon': -97.5169, 'lat': 28.017}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 281.51, 'feels_like': 276.48, 'temp_min': 280.93, 'temp_max': 282.15, 'pressure': 1027, 'humidity': 71}",10000.0,"{'speed': 5.14, 'deg': 30}",{'all': 20},1610118139.0,"{'type': 1, 'id': 3705, 'country': 'US', 'sunrise': 1610112159, 'sunset': 1610149846}",-21600.0,4726521.0,San Patricio,200,,,
"{'lon': 29.0864, 'lat': 70.8578}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 266.03, 'feels_like': 253.41, 'temp_min': 264.15, 'temp_max': 267.15, 'pressure': 1018, 'humidity': 63}",10000.0,"{'speed': 13.38, 'deg': 230}",{'all': 0},1610118196.0,"{'type': 1, 'id': 1620, 'country': 'NO', 'sunrise': 0, 'sunset': 0}",3600.0,780687.0,Berlevåg,200,,,
"{'lon': -70.9167, 'lat': -53.15}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 286.04, 'feels_like': 279.64, 'temp_min': 285.93, 'temp_max': 286.15, 'pressure': 1000, 'humidity': 54}",10000.0,"{'speed': 7.2, 'deg': 280}",{'all': 40},1610118132.0,"{'type': 1, 'id': 8487, 'country': 'CL', 'sunrise': 1610094673, 'sunset': 1610154560}",-10800.0,3874787.0,Punta Arenas,200,,,
"{'lon': 119.8062, 'lat': 16.2923}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 298.04, 'feels_like': 296.05, 'temp_min': 298.04, 'temp_max': 298.04, 'pressure': 1012, 'humidity': 81, 'sea_level': 1012, 'grnd_level': 996}",10000.0,"{'speed': 9.11, 'deg': 14}",{'all': 16},1610118196.0,"{'country': 'PH', 'sunrise': 1610058653, 'sunset': 1610099007}",28800.0,1717787.0,Catuday,200,,,
"{'lon': -134.9692, 'lat': -23.1203}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 298.89, 'feels_like': 300.86, 'temp_min': 298.89, 'temp_max': 298.89, 'pressure': 1016, 'humidity': 73, 'sea_level': 1016, 'grnd_level': 1013}",10000.0,"{'speed': 2.83, 'deg': 15}",{'all': 100},1610118133.0,"{'country': 'PF', 'sunrise': 1610115752, 'sunset': 1610164235}",-32400.0,4030556.0,Rikitea,200,,,
"{'lon': -109.9124, 'lat': 22.8909}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 287.88, 'feels_like': 284.2, 'temp_min': 287.15, 'temp_max': 288.71, 'pressure': 1018, 'humidity': 58}",10000.0,"{'speed': 4.12, 'deg': 260}",{'all': 1},1610118035.0,"{'type': 1, 'id': 7165, 'country': 'MX', 'sunrise': 1610114519, 'sunset': 1610153437}",-25200.0,3985710.0,Cabo San Lucas,200,,,
"{'lon': -9.0603, 'lat': 42.7762}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 282.89, 'feels_like': 279.04, 'temp_min': 282.59, 'temp_max': 283.15, 'pressure': 1012, 'humidity': 51}",10000.0,"{'speed': 2.68, 'deg': 41, 'gust': 8.94}",{'all': 0},1610118197.0,"{'type': 3, 'id': 72671, 'country': 'ES', 'sunrise': 1610093178, 'sunset': 1610126356}",3600.0,3115824.0,Muros,200,,,
"{'lon': 115.3333, 'lat': -33.65}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 298.03, 'feels_like': 297.85, 'temp_min': 297.59, 'temp_max': 298.71, 'pressure': 1010, 'humidity': 40}",10000.0,"{'speed': 0.45, 'deg': 70, 'gust': 2.68}",{'all': 75},1610118133.0,"{'type': 3, 'id': 2020551, 'country': 'AU', 'sunrise': 1610054241, 'sunset': 1610105567}",28800.0,2075265.0,Busselton,200,,,
"{'lon': 168.3333, 'lat': -46.6}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 285.93, 'feels_like': 282.13, 'temp_min': 285.93, 'temp_max': 285.93, 'pressure': 1011, 'humidity': 75}",10000.0,"{'speed': 4.92, 'deg': 247, 'gust': 7.6}",{'all': 87},1610118135.0,"{'type': 3, 'id': 2008959, 'country': 'NZ', 'sunrise': 1610125541, 'sunset': 1610181670}",46800.0,2206939.0,Bluff,200,,,
