coord/lon,coord/lat,weather/0/id,weather/0/main,weather/0/description,weather/0/icon,base,main/temp,main/feels_like,main/temp_min,main/temp_max,main/pressure,main/humidity,visibility,wind/speed,wind/deg,clouds/all,dt,sys/type,sys/id,sys/country,sys/sunrise,sys/sunset,timezone,id,name,cod,main/sea_level,main/grnd_level,wind/gust,rain/1h,message,snow/1h,weather/1/id,weather/1/main,weather/1/description,weather/1/icon
-139.0333,-9.8,804,Clouds,overcast clouds,04d,stations,298.68,296.01,298.68,298.68,1014,71,10000,9.01,99,90,1610213145,,,PF,1610204614,1610250174,-34200,4020109,Atuona,200,1014,1006,,,,,,,,
-65.1023,-43.3002,800,Clear,clear sky,01d,stations,297.98,293.9,297.98,297.98,1001,19,10000,2.92,30,3,1610213128,,,AR,1610182340,1610236951,-10800,3839307,Rawson,200,1001,999,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,city not found,,,,,
26.6595,-23.688,803,Clouds,broken clouds,04n,stations,303.77,303.8,303.77,303.77,1006,33,10000,1.06,99,72,1610213145,,,BW,1610163317,1610211916,7200,933290,Mookane,200,1006,904,,,,,,,,
-76.5119,38.8876,800,Clear,clear sky,01d,stations,277.28,269.71,275.93,278.15,1015,41,10000,6.69,310,1,1610213145,1,5056,US,1610195068,1610229702,-18000,4362001,Mayo,200,,,10.8,,,,,,,
-105.5731,36.4072,803,Clouds,broken clouds,04d,stations,272.28,268.05,271.15,273.15,1017,64,10000,2.06,350,75,1610213146,1,5854,US,1610201649,1610237074,-25200,5493811,Taos,200,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,city not found,,,,,
-73.9662,42.6001,804,Clouds,overcast clouds,04d,stations,270.67,267,269.82,271.48,1010,57,10000,0.89,355,100,1610213116,3,19530,US,1610195106,1610228441,-18000,5106841,Albany,200,,,2.24,,,,,,,
-124.1637,40.8021,803,Clouds,broken clouds,04d,stations,279.08,277.68,278.71,279.26,1025,95,10000,0.45,71,65,1610213146,3,2007742,US,1610206827,1610240821,-28800,5563397,Eureka,200,,,0.89,,,,,,,
-73.3579,41.1415,800,Clear,clear sky,01d,stations,273.55,267.58,272.59,275.15,1011,44,10000,4.12,360,1,1610213146,1,3409,US,1610194695,1610228560,-18000,4845585,Westport,200,,,,,,,,,,
37.1841,35.3029,803,Clouds,broken clouds,04n,stations,285.51,281.21,285.51,285.51,1022,43,10000,3.33,123,64,1610213146,,,SY,1610167223,1610202956,7200,172515,Abu Samrah,200,1022,972,,,,,,,,
55.7679,-21.3585,801,Clouds,few clouds,02n,stations,296.96,295.12,293.15,299.15,1009,89,10000,9.26,130,20,1610213146,1,2127,RE,1610156602,1610204655,14400,935215,Saint-Philippe,200,,,,,,,,,,
-49.2717,-26.8233,802,Clouds,scattered clouds,03d,stations,303.15,307.46,303.15,303.15,1011,64,10000,0.89,128,40,1610213146,3,2020861,BR,1610181162,1610230528,-10800,3446465,Timbó,200,,,3.13,,,,,,,
-55.9836,-4.2761,500,Rain,light rain,10d,stations,304.15,308.42,304.15,304.15,1011,66,10000,2.12,44,40,1610213146,1,8368,BR,1610185224,1610229689,-10800,3397967,Itaituba,200,,,,0.45,,,,,,
-156.7887,71.2906,804,Clouds,overcast clouds,04n,stations,254.15,249.03,254.15,254.15,1003,71,10000,2.06,130,90,1610213101,1,7649,US,0,0,-32400,5880054,Barrow,200,,,,,,,,,,
-114.3525,62.456,803,Clouds,broken clouds,04d,stations,261.15,255.31,261.15,261.15,1007,85,10000,3.6,150,75,1610212868,1,1007,CA,1610211363,1610231575,-25200,6185377,Yellowknife,200,,,,,,,,,,
-27.9833,39.05,802,Clouds,scattered clouds,03d,stations,286.47,283.13,286.47,286.47,1030,58,10000,3.23,211,48,1610213147,,,PT,1610183449,1610218020,-3600,3372964,Lagoa,200,1030,1021,,,,,,,,
-72.6509,-7.738,803,Clouds,broken clouds,04d,stations,307.15,311.31,307.15,307.15,1012,59,10000,3.09,300,75,1610213147,1,8353,BR,1610188883,1610234032,-18000,3665210,Rodrigues Alves,200,,,,,,,,,,
-62.2724,-38.7196,801,Clouds,few clouds,02d,stations,305.66,298.91,305.66,305.66,1006,17,10000,7.84,316,15,1610213147,,,AR,1610182527,1610235406,-10800,3865086,Bahía Blanca,200,1006,1003,,,,,,,,
-90.3518,-0.7393,800,Clear,clear sky,01d,stations,300.01,297.35,298.71,302.15,1014,58,10000,7.72,130,0,1610213147,1,8521,EC,1610193820,1610237594,-21600,3652764,Puerto Ayora,200,,,,,,,,,,
-70.9167,-53.15,500,Rain,light rain,10d,stations,286.04,281.25,285.93,286.15,985,50,10000,4.63,70,75,1610212926,1,8487,CL,1610181163,1610240920,-10800,3874787,Punta Arenas,200,,,,0.2,,,,,,
